students_passed,num_teachers,total_students,Total_budget,dropout_rate,avg_class_size,school_distance,district_label
354,77,757,10531,0.22,9.83,1,Kicukiro
611,42,2630,9088,0.15,62.62,3,Kicukiro
471,16,2295,18900,0.17,143.44,6,Kicukiro
762,21,1995,8804,0.05,95.0,5,Kicukiro
927,93,1440,9201,0.27,15.48,7,Kicukiro
741,37,2138,6995,0.15,57.78,2,Kicukiro
565,33,663,17132,0.26,20.09,6,Kicukiro
795,22,2553,13191,0.17,116.05,2,Kicukiro
959,33,772,7423,0.18,23.39,7,Kicukiro
578,34,1493,8877,0.08,43.91,5,Kicukiro
586,32,2710,7704,0.18,84.69,8,Kicukiro
626,64,2321,18257,0.23,36.27,2,Kicukiro
970,53,1490,14848,0.16,28.11,2,Kicukiro
729,54,1501,7730,0.17,27.8,7,Kicukiro
318,11,2777,16972,0.09,252.45,2,Kicukiro
370,79,515,17834,0.09,6.52,6,Kicukiro
701,31,1314,17284,0.06,42.39,9,Kicukiro
617,73,2004,14696,0.19,27.45,7,Kicukiro
777,70,2613,11918,0.1,37.33,4,Nyarugenge
452,47,672,17789,0.1,14.3,4,Kicukiro
829,47,2165,18071,0.15,46.06,5,Kicukiro
232,16,1720,15203,0.1,107.5,3,Kicukiro
543,34,1868,16451,0.1,54.94,1,Kicukiro
354,51,699,9072,0.17,13.71,3,Kicukiro
264,30,1085,19052,0.24,36.17,7,Kicukiro
420,68,594,13009,0.09,8.74,1,Kicukiro
733,56,883,17056,0.08,15.77,5,Kicukiro
984,20,2292,8003,0.14,114.6,5,Nyarugenge
417,17,502,11119,0.09,29.53,6,Kicukiro
636,94,1311,13318,0.17,13.95,6,Kicukiro
723,93,2715,10431,0.05,29.19,9,Kicukiro
519,12,1892,12521,0.13,157.67,6,Kicukiro
942,36,951,15024,0.27,26.42,4,Kicukiro
397,78,2460,11015,0.22,31.54,5,Kicukiro
981,34,1606,13344,0.18,47.24,8,Kicukiro
916,42,2079,12689,0.18,49.5,5,Kicukiro
439,86,840,8946,0.09,9.77,6,Kicukiro
801,85,2591,8179,0.19,30.48,1,Kicukiro
930,85,2133,15314,0.21,25.09,3,Kicukiro
837,61,1774,18181,0.19,29.08,3,Kicukiro
512,86,1842,16423,0.09,21.42,6,Kicukiro
439,63,589,14297,0.26,9.35,9,Kicukiro
862,90,879,5504,0.28,9.77,6,Kicukiro
937,63,2617,10579,0.14,41.54,3,Kicukiro
451,57,797,5954,0.12,13.98,6,Kicukiro
972,11,2732,13843,0.15,248.36,4,Kicukiro
475,61,1113,5142,0.05,18.25,6,Kicukiro
956,77,2369,8841,0.17,30.77,2,Kicukiro
918,98,631,11457,0.24,6.44,8,Kicukiro
874,94,2808,15246,0.21,29.87,6,Kicukiro
986,57,1935,19399,0.15,33.95,1,Kicukiro
214,35,2940,5061,0.22,84.0,7,Kicukiro
600,22,1592,17371,0.19,72.36,4,Kicukiro
626,84,2724,17213,0.14,32.43,8,Kicukiro
351,59,2047,7286,0.13,34.69,9,Kicukiro
708,42,1986,9931,0.22,47.29,6,Kicukiro
815,18,2895,18210,0.1,160.83,3,Kicukiro
928,31,1844,5714,0.06,59.48,5,Kicukiro
295,73,568,8162,0.07,7.78,4,Kicukiro
316,35,2207,16132,0.16,63.06,9,Kicukiro
823,35,2256,16378,0.28,64.46,4,Kicukiro
552,14,1775,13252,0.1,126.79,6,Kicukiro
